##--Author      JRM Annand   29th Apr 2003
##--Update      R Gregor...
##--Description
##                *** Acqu++ <-> Root ***
## Online/Offline Analysis of Sub-Atomic Physics Experimental Data
##
## Parameter File: TAPS_BaF2.dat
## Setup of decoding of BaF2 information
##
##-----------------------------------------------------------------------
## Total # Elements in array, Pulse-Height info? Time info? Position info?
## Info switch is off/on = 0/1
##      Total   Energy? Time?   Position?
#
Size:  384    1       1       1
#RawHits:
#BitPattern: data/Dec_07/TAPS/TAPS.pat
#
#
#
# Now enter the information for each element....if the number of
# elements is specified as 10 above then there must be 10 element spec lines
# ADCs low,high define in MeV the range of a valid hit.
# ped is the zero-point offset channel and MeV/ch is the ADC conversionsion
# TDCs low, high define in ns the range of a valid hit.
# Off is the time-zero offset channel and ns/ch is the conversion gain.
# Pos 3-vector usually relates to the center of the front face of a crystal
# assuming origin at center of target, beam in z-direction
# with Bene's calib-files
#        ADC#  low  high ped  MeV/ch  TDC#  low/high Off ns/ch  Pos x,y,z (cm)
Element: 27016  0.01 20. 86.1848	0.0162177     27316  -200.0  200.0 2820.5337  0.050    0.000000  -36.000000  146.350000
Element: 27017  0.01 20. 85.8689	0.020037      27317  -200.0  200.0 2896.8220  0.050    5.196152  -33.000000  146.350000
Element: 27018  0.01 20. 86.4692	0.0191968     27318  -200.0  200.0 2902.8682  0.050   10.392304  -30.000000  146.350000
Element: 27019  0.01 20. 86.2659	0.0192308     27319  -200.0  200.0 2871.4324  0.050   15.588456  -27.000000  146.350000
Element: 27020  0.01 20. 85.4904	0.016808      27320  -200.0  200.0 2858.5161  0.050   20.784609  -24.000000  146.350000
Element: 27021  0.01 20. 85.5431	0.0184344     27321  -200.0  200.0 2877.4531  0.050   25.980761  -21.000000  146.350000
Element: 27022  0.01 20. 86.3995	0.0148306     27322  -200.0  200.0 2863.7325  0.050    0.000000  -42.000000  146.350000
Element: 27023  0.01 20. 85.816	0.0125918      27323  -200.0  200.0 2849.9530  0.050    5.196152  -39.000000  146.350000
Element: 27024  0.01 20. 85.6789	0.0111345     27324  -200.0  200.0 2882.8622  0.050   10.392304  -36.000000  146.350000
Element: 27025  0.01 20. 86.1006	0.0172161     27325  -200.0  200.0 2850.9215  0.050   15.588456  -33.000000  146.350000
Element: 27026  0.01 20. 85.7627	0.0149067     27326  -200.0  200.0 2871.6916  0.050   20.784609  -30.000000  146.350000
Element: 27027  0.01 20. 85.6449	0.0146187     27327  -200.0  200.0 2841.6077  0.050   25.980761  -27.000000  146.350000
Element: 27028  0.01 20. 85.3692	0.0119557     27328  -200.0  200.0 2851.7246  0.050   31.176912  -24.000000  146.350000
Element: 27029  0.01 20. 85.4448	0.0153407     27329  -200.0  200.0 2842.0670  0.050    0.000000  -48.000000  146.350000
Element: 27030  0.01 20. 86.2062	0.0177625     27330  -200.0  200.0 2853.0212  0.050    5.196152  -45.000000  146.350000
Element: 27031  0.01 20. 85.368	0.0163188      27331  -200.0  200.0 2886.5634  0.050   10.392304  -42.000000  146.350000
Element: 27032  0.01 20. 85.9702	0.0136072     27332  -200.0  200.0 2884.0983  0.050   15.588456  -39.000000  146.350000
Element: 27033  0.01 20. 86.0455	0.0190987     27333  -200.0  200.0 2850.4384  0.050   20.784609  -36.000000  146.350000
